heart,heartLines,heartColor,tribunes,tribunesLines,tribunesColor,marcius,marciusLines,marciusColor,love,loveLines,loveColor,give,giveLines,giveColor,gods,godsLines,godsColor,consul,consulLines,consulColor,mine,mineLines,mineColor,general,generalLines,generalColor,world,worldLines,worldColor,home,homeLines,homeColor,aufidius,aufidiusLines,aufidiusColor,speak,speakLines,speakColor,city,cityLines,cityColor,death,deathLines,deathColor,voices,voicesLines,voicesColor,rather,ratherLines,ratherColor,friends,friendsLines,friendsColor,away,awayLines,awayColor,people,peopleLines,peopleColor,state,stateLines,stateColor,take,takeLines,takeColor,time,timeLines,timeColor,show,showLines,showColor,tell,tellLines,tellColor,coriolanus,coriolanusLines,coriolanusColor,noble,nobleLines,nobleColor,never,neverLines,neverColor,power,powerLines,powerColor,less,lessLines,lessColor,honour,honourLines,honourColor,men,menLines,menColor,peace,peaceLines,peaceColor,bear,bearLines,bearColor,hear,hearLines,hearColor,blood,bloodLines,bloodColor,worthy,worthyLines,worthyColor,news,newsLines,newsColor,son,sonLines,sonColor,true,trueLines,trueColor,man,manLines,manColor,great,greatLines,greatColor,wife,wifeLines,wifeColor,country,countryLines,countryColor,war,warLines,warColor,pray,prayLines,prayColor,rome,romeLines,romeColor,stand,standLines,standColor,mother,motherLines,motherColor,first,firstLines,firstColor
MENENIUS,4,168.387096774,MENENIUS,9,168.387096774,MARCIUS,1,156.774193548,MENENIUS,5,168.387096774,First Lord,1,87.0967741935,All,1,301.935483871,MENENIUS,6,168.387096774,VALERIA,1,162.580645161,VALERIA,1,162.580645161,MENENIUS,3,168.387096774,MENENIUS,6,168.387096774,MARCIUS,6,156.774193548,VALERIA,1,162.580645161,VALERIA,1,162.580645161,MENENIUS,3,168.387096774,Second Citizen,2,0,MENENIUS,3,168.387096774,MENENIUS,7,168.387096774,First Lord,1,87.0967741935,Second Citizen,1,0,MENENIUS,6,168.387096774,MENENIUS,6,168.387096774,MENENIUS,6,168.387096774,MENENIUS,1,168.387096774,VALERIA,1,162.580645161,Senators,1,296.129032258,MARCIUS,2,156.774193548,MENENIUS,1,168.387096774,MENENIUS,1,168.387096774,MENENIUS,1,168.387096774,VALERIA,1,162.580645161,MENENIUS,5,168.387096774,Both Tribunes,1,290.322580645,First Lord,1,87.0967741935,First Lord,1,87.0967741935,MENENIUS,5,168.387096774,Second Citizen,2,0,VALERIA,2,162.580645161,VALERIA,1,162.580645161,VALERIA,2,162.580645161,MENENIUS,4,168.387096774,MENENIUS,4,168.387096774,MENENIUS,3,168.387096774,Second Citizen,2,0,Third Servingman,1,29.0322580645,VALERIA,1,162.580645161,Third Servingman,1,29.0322580645,MENENIUS,1,168.387096774,MENENIUS,6,168.387096774,MENENIUS,3,168.387096774
First Citizen,1,174.193548387,COMINIUS,3,46.4516129032,Second Citizen,1,0,VIRGILIA,1,197.419354839,COMINIUS,4,46.4516129032,First Citizen,2,174.193548387,COMINIUS,3,46.4516129032,MENENIUS,2,168.387096774,MENENIUS,9,168.387096774,COMINIUS,3,46.4516129032,First Citizen,1,174.193548387,MENENIUS,4,168.387096774,MENENIUS,18,168.387096774,MENENIUS,5,168.387096774,COMINIUS,2,46.4516129032,First Citizen,2,174.193548387,First Citizen,1,174.193548387,COMINIUS,4,46.4516129032,All,1,301.935483871,First Citizen,2,174.193548387,COMINIUS,1,46.4516129032,COMINIUS,2,46.4516129032,COMINIUS,5,46.4516129032,First Citizen,1,174.193548387,MENENIUS,9,168.387096774,All,2,301.935483871,First Citizen,1,174.193548387,COMINIUS,4,46.4516129032,COMINIUS,1,46.4516129032,COMINIUS,4,46.4516129032,MENENIUS,4,168.387096774,First Citizen,1,174.193548387,First Lord,1,87.0967741935,MENENIUS,4,168.387096774,MENENIUS,14,168.387096774,VIRGILIA,1,197.419354839,MARCIUS,1,156.774193548,MENENIUS,5,168.387096774,MENENIUS,2,168.387096774,MENENIUS,2,168.387096774,COMINIUS,5,46.4516129032,MARCIUS,1,156.774193548,COMINIUS,2,46.4516129032,First Citizen,1,174.193548387,VALERIA,1,162.580645161,MENENIUS,8,168.387096774,MENENIUS,13,168.387096774,COMINIUS,3,46.4516129032,COMINIUS,2,46.4516129032,First Citizen,1,174.193548387
MARCIUS,5,156.774193548,AEdile,2,180.0,First Citizen,1,174.193548387,LARTIUS,1,23.2258064516,VIRGILIA,2,197.419354839,VIRGILIA,1,197.419354839,All Citizens,1,325.161290323,LARTIUS,1,23.2258064516,LARTIUS,1,23.2258064516,LARTIUS,1,23.2258064516,All The Lords,1,220.64516129,COMINIUS,2,46.4516129032,First Citizen,2,174.193548387,First Citizen,1,174.193548387,MARCIUS,2,156.774193548,Fifth Citizen,1,98.7096774194,MARCIUS,1,156.774193548,VOLUMNIA,2,232.258064516,COMINIUS,2,46.4516129032,AEdile,1,180.0,Volsce,2,150.967741935,Volsce,1,150.967741935,VIRGILIA,1,197.419354839,COMINIUS,1,46.4516129032,COMINIUS,2,46.4516129032,COMINIUS,3,46.4516129032,Messenger,2,52.2580645161,MARCIUS,1,156.774193548,AEdile,1,180.0,First Conspirator,1,139.35483871,COMINIUS,1,46.4516129032,COMINIUS,3,46.4516129032,MENENIUS,4,168.387096774,COMINIUS,2,46.4516129032,First Citizen,2,174.193548387,MARCIUS,4,156.774193548,AEdile,1,180.0,COMINIUS,2,46.4516129032,COMINIUS,1,46.4516129032,First Citizen,1,174.193548387,Second Servingman,2,92.9032258065,COMINIUS,1,46.4516129032,Roman,1,226.451612903,COMINIUS,2,46.4516129032,COMINIUS,2,46.4516129032,COMINIUS,1,46.4516129032,COMINIUS,13,46.4516129032,LARTIUS,1,23.2258064516,MARCIUS,1,156.774193548,MARCIUS,2,156.774193548
VOLUMNIA,6,232.258064516,MARCIUS,2,156.774193548,Third Servingman,1,29.0322580645,COMINIUS,1,46.4516129032,LARTIUS,1,23.2258064516,MARCIUS,3,156.774193548,Third Conspirator,1,116.129032258,COMINIUS,1,46.4516129032,Second Servingman,1,92.9032258065,Second Servingman,2,92.9032258065,Volsce,1,150.967741935,VIRGILIA,1,197.419354839,First Lord,1,87.0967741935,First Soldier,1,17.4193548387,VOLUMNIA,2,232.258064516,MENENIUS,1,168.387096774,First Senator,2,348.387096774,MARCIUS,2,156.774193548,Second Servingman,1,92.9032258065,COMINIUS,2,46.4516129032,BRUTUS,2,75.4838709677,AUFIDIUS,5,104.516129032,MARCIUS,2,156.774193548,MARCIUS,1,156.774193548,Second Servingman,2,92.9032258065,Second Senator,1,69.6774193548,Citizen,1,58.064516129,Second Citizen,1,0,MARCIUS,3,156.774193548,MARCIUS,1,156.774193548,Senators,1,296.129032258,MARCIUS,4,156.774193548,Citizens,1,342.580645161,MARCIUS,3,156.774193548,MARCIUS,2,156.774193548,Third Servingman,1,29.0322580645,Second Senator,1,69.6774193548,MARCIUS,1,156.774193548,All The People,1,110.322580645,Second Senator,1,69.6774193548,Sixth Citizen,1,313.548387097,Second Servingman,1,92.9032258065,VOLUMNIA,7,232.258064516,MARCIUS,1,156.774193548,VIRGILIA,1,197.419354839,Second Servingman,1,92.9032258065,Second Messenger,1,40.6451612903,MARCIUS,4,156.774193548,VOLUMNIA,8,232.258064516,VOLUMNIA,4,232.258064516
Roman,1,226.451612903,First Senator,2,348.387096774,Second Messenger,2,40.6451612903,MARCIUS,1,156.774193548,Second Servingman,1,92.9032258065,MENENIUS,8,168.387096774,SICINIUS,6,81.2903225806,VIRGILIA,1,197.419354839,First Conspirator,1,139.35483871,MARCIUS,1,156.774193548,MARCIUS,2,156.774193548,Second Messenger,1,40.6451612903,Second Senator,1,69.6774193548,MARCIUS,4,156.774193548,Messenger,1,52.2580645161,COMINIUS,1,46.4516129032,VOLUMNIA,6,232.258064516,Third Servingman,2,29.0322580645,LARTIUS,1,23.2258064516,Citizens,1,342.580645161,VOLUMNIA,2,232.258064516,MARCIUS,4,156.774193548,Roman,1,226.451612903,Third Servingman,1,29.0322580645,MARCIUS,1,156.774193548,MENENIUS,5,168.387096774,Second Lord,1,63.8709677419,BRUTUS,1,75.4838709677,Roman,1,226.451612903,Third Servingman,1,29.0322580645,First Senator,1,348.387096774,VOLUMNIA,1,232.258064516,AEdile,2,180.0,VOLUMNIA,3,232.258064516,VOLUMNIA,7,232.258064516,VOLUMNIA,3,232.258064516,TITUS,1,191.612903226,Third Servingman,2,29.0322580645,Third Servingman,1,29.0322580645,VIRGILIA,2,197.419354839,MARCIUS,3,156.774193548,LARTIUS,1,23.2258064516,AUFIDIUS,1,104.516129032,MENENIUS,3,168.387096774,AEdile,1,180.0,MARCIUS,2,156.774193548,Volsce,1,150.967741935,Third Servingman,1,29.0322580645,First Senator,1,348.387096774,CORIOLANUS,5,354.193548387
COMINIUS,2,46.4516129032,Roman,1,226.451612903,TITUS,1,191.612903226,VOLUMNIA,6,232.258064516,Fifth Citizen,1,98.7096774194,VOLUMNIA,6,232.258064516,BRUTUS,3,75.4838709677,MARCIUS,2,156.774193548,MARCIUS,3,156.774193548,VOLUMNIA,2,232.258064516,Second Citizen,1,0,Roman,1,226.451612903,Citizens,1,342.580645161,Third Servingman,1,29.0322580645,CORIOLANUS,5,354.193548387,SICINIUS,4,81.2903225806,SICINIUS,2,81.2903225806,Fourth Citizen,1,209.032258065,MENENIUS,3,168.387096774,MENENIUS,8,168.387096774,Citizen,1,58.064516129,Third Servingman,1,29.0322580645,VOLUMNIA,2,232.258064516,VOLUMNIA,6,232.258064516,Third Servingman,2,29.0322580645,BRUTUS,1,75.4838709677,AUFIDIUS,8,104.516129032,Second Messenger,1,40.6451612903,VOLUMNIA,3,232.258064516,First Senator,1,348.387096774,Herald,1,214.838709677,Messenger,1,52.2580645161,Second Servingman,2,92.9032258065,First Citizen,1,174.193548387,BRUTUS,1,75.4838709677,COMINIUS,3,46.4516129032,LARTIUS,1,23.2258064516,Second Messenger,1,40.6451612903,VOLUMNIA,14,232.258064516,BRUTUS,1,75.4838709677,Third Servingman,2,29.0322580645,Second Conspirator,1,133.548387097,Third Citizen,1,307.741935484,Fourth Citizen,2,209.032258065,Second Servingman,1,92.9032258065,Third Servingman,3,29.0322580645,First Conspirator,1,139.35483871,Third Conspirator,1,116.129032258,First Citizen,1,174.193548387,AUFIDIUS,5,104.516129032
Second Officer,1,255.483870968,First Citizen,1,174.193548387,LARTIUS,4,23.2258064516,First Citizen,1,174.193548387,MARCIUS,2,156.774193548,Both Citizens,1,121.935483871,Third Citizen,1,307.741935484,First Citizen,1,174.193548387,Third Servingman,4,29.0322580645,SICINIUS,1,81.2903225806,BRUTUS,4,75.4838709677,VOLUMNIA,3,232.258064516,All,1,301.935483871,VOLUMNIA,1,232.258064516,BRUTUS,1,75.4838709677,BRUTUS,2,75.4838709677,BRUTUS,2,75.4838709677,BRUTUS,1,75.4838709677,VOLUMNIA,1,232.258064516,Fourth Citizen,1,209.032258065,AUFIDIUS,3,104.516129032,Roman,1,226.451612903,SICINIUS,5,81.2903225806,SICINIUS,2,81.2903225806,Roman,2,226.451612903,Herald,2,214.838709677,BRUTUS,2,75.4838709677,VOLUMNIA,2,232.258064516,Messenger,1,52.2580645161,VOLUMNIA,3,232.258064516,VOLUMNIA,8,232.258064516,Second Officer,1,255.483870968,MARCIUS,1,156.774193548,Messenger,1,52.2580645161,Roman,1,226.451612903,AUFIDIUS,1,104.516129032,MENENIUS,6,168.387096774,Messenger,2,52.2580645161,BRUTUS,1,75.4838709677,VOLUMNIA,1,232.258064516,BRUTUS,2,75.4838709677,VOLUMNIA,1,232.258064516,CORIOLANUS,7,354.193548387,Roman,1,226.451612903,MARCIUS,4,156.774193548,First Citizen,1,174.193548387,MARCIUS,2,156.774193548,VOLUMNIA,3,232.258064516,SICINIUS,1,81.2903225806,SICINIUS,2,81.2903225806
CORIOLANUS,9,354.193548387,Citizens,1,342.580645161,MENENIUS,14,168.387096774,First Officer,3,145.161290323,Second Citizen,1,0,COMINIUS,3,46.4516129032,CORIOLANUS,8,354.193548387,VOLUMNIA,1,232.258064516,First Senator,3,348.387096774,AUFIDIUS,1,104.516129032,Second Senator,1,69.6774193548,Messenger,1,52.2580645161,VOLUMNIA,8,232.258064516,COMINIUS,5,46.4516129032,SICINIUS,4,81.2903225806,Third Citizen,5,307.741935484,CORIOLANUS,7,354.193548387,First Citizen,1,174.193548387,Messenger,1,52.2580645161,First Senator,1,348.387096774,First Senator,1,348.387096774,VOLUMNIA,3,232.258064516,AUFIDIUS,4,104.516129032,AUFIDIUS,3,104.516129032,VOLUMNIA,5,232.258064516,Roman,2,226.451612903,SICINIUS,3,81.2903225806,Messenger,1,52.2580645161,SICINIUS,7,81.2903225806,AUFIDIUS,1,104.516129032,Second Officer,1,255.483870968,AUFIDIUS,2,104.516129032,VOLUMNIA,3,232.258064516,SICINIUS,3,81.2903225806,COMINIUS,7,46.4516129032,First Senator,1,348.387096774,BRUTUS,3,75.4838709677,Citizens,1,342.580645161,CORIOLANUS,5,354.193548387,Second Officer,1,255.483870968,Roman,2,226.451612903,Second Messenger,1,40.6451612903, , , ,VOLUMNIA,8,232.258064516,MENENIUS,1,168.387096774,First Senator,1,348.387096774,Second Senator,1,69.6774193548,First Officer,1,145.161290323,AUFIDIUS,1,104.516129032, , , 
AUFIDIUS,4,104.516129032,SICINIUS,2,81.2903225806,VOLUMNIA,3,232.258064516,Second Officer,2,255.483870968,MENENIUS,5,168.387096774,Seventh Citizen,1,238.064516129, , , ,AUFIDIUS,7,104.516129032,VOLUMNIA,2,232.258064516,BRUTUS,1,75.4838709677,VOLUMNIA,4,232.258064516,Second Lord,2,63.8709677419,First Senator,1,348.387096774,Citizens,1,342.580645161, , , ,CORIOLANUS,13,354.193548387, , , ,CORIOLANUS,5,354.193548387,Young MARCIUS,1,261.290322581,Roman,2,226.451612903,CORIOLANUS,5,354.193548387,SICINIUS,2,81.2903225806,BRUTUS,3,75.4838709677,Third Citizen,2,307.741935484,SICINIUS,1,81.2903225806,VOLUMNIA,2,232.258064516,First Lord,1,87.0967741935,SICINIUS,2,81.2903225806,AUFIDIUS,5,104.516129032,BRUTUS,1,75.4838709677,SICINIUS,3,81.2903225806,First Servingman,2,203.225806452,Senators, &C,1,336.774193548,AUFIDIUS,2,104.516129032,Citizens,2,342.580645161,CORIOLANUS,4,354.193548387,Roman,1,226.451612903,Volsce,1,150.967741935, , , ,Citizens,1,342.580645161,VOLUMNIA,8,232.258064516,Roman,1,226.451612903, , , ,SICINIUS,2,81.2903225806,VOLUMNIA,7,232.258064516,VOLUMNIA,5,232.258064516,All,1,301.935483871,Second Lord,1,63.8709677419,BRUTUS,1,75.4838709677, , , 
BRUTUS,4,75.4838709677,AUFIDIUS,1,104.516129032,BRUTUS,9,75.4838709677,SICINIUS,1,81.2903225806,VOLUMNIA,3,232.258064516,First Senator,2,348.387096774, , , ,CORIOLANUS,7,354.193548387,AUFIDIUS,1,104.516129032,CORIOLANUS,4,354.193548387,Messenger,1,52.2580645161,Second Senator,1,69.6774193548,COMINIUS,5,46.4516129032,CORIOLANUS,3,354.193548387, , , , , , , , , ,AUFIDIUS,2,104.516129032,CORIOLANUS,4,354.193548387,VOLUMNIA,2,232.258064516, , , ,Second Senator,1,69.6774193548,CORIOLANUS,6,354.193548387,CORIOLANUS,7,354.193548387,AUFIDIUS,3,104.516129032,Second Officer,2,255.483870968,COMINIUS,5,46.4516129032,AUFIDIUS,4,104.516129032,BRUTUS,7,75.4838709677,CORIOLANUS,5,354.193548387,AUFIDIUS,7,104.516129032,CORIOLANUS,5,354.193548387,Second Lord,2,63.8709677419,BRUTUS,3,75.4838709677,CORIOLANUS,8,354.193548387, , , ,VOLUMNIA,2,232.258064516,BRUTUS,1,75.4838709677, , , ,CORIOLANUS,8,354.193548387,A Patrician,1,267.096774194,First Citizen,1,174.193548387, , , ,AUFIDIUS,1,104.516129032,BRUTUS,4,75.4838709677,SICINIUS,3,81.2903225806,BRUTUS,3,75.4838709677,CORIOLANUS,8,354.193548387,CORIOLANUS,15,354.193548387, , , 
